X,Y
359600,7634200
359800,7634200
359400,7634400
359600,7634400
359800,7634400
360000,7634400
355600,7634600
355800,7634600
356000,7634600
356200,7634600
356400,7634600
356600,7634600
356800,7634600
359400,7634600
359600,7634600
359800,7634600
360000,7634600
360200,7634600
360400,7634600
355200,7634800
355400,7634800
355600,7634800
355800,7634800
356000,7634800
356200,7634800
356400,7634800
356600,7634800
356800,7634800
357000,7634800
357200,7634800
359200,7634800
359400,7634800
359600,7634800
359800,7634800
360000,7634800
360200,7634800
360400,7634800
360600,7634800
362000,7634800
355000,7635000
355200,7635000
355400,7635000
355600,7635000
355800,7635000
356000,7635000
356200,7635000
356400,7635000
356600,7635000
356800,7635000
357000,7635000
357200,7635000
357400,7635000
357600,7635000
357800,7635000
358000,7635000
358200,7635000
358400,7635000
358600,7635000
358800,7635000
359000,7635000
359200,7635000
359400,7635000
359600,7635000
359800,7635000
360000,7635000
360200,7635000
360400,7635000
360600,7635000
360800,7635000
361000,7635000
361200,7635000
361400,7635000
361600,7635000
361800,7635000
362000,7635000
362200,7635000
362400,7635000
355000,7635200
355200,7635200
355400,7635200
355600,7635200
355800,7635200
356000,7635200
356200,7635200
356400,7635200
356600,7635200
356800,7635200
357000,7635200
357200,7635200
357400,7635200
357600,7635200
357800,7635200
358000,7635200
358200,7635200
358400,7635200
358600,7635200
358800,7635200
359000,7635200
359200,7635200
359400,7635200
359600,7635200
359800,7635200
360000,7635200
360200,7635200
360400,7635200
360600,7635200
360800,7635200
361000,7635200
361200,7635200
361400,7635200
361600,7635200
361800,7635200
362000,7635200
362200,7635200
362400,7635200
362600,7635200
354400,7635400
354600,7635400
354800,7635400
355000,7635400
355200,7635400
355400,7635400
355600,7635400
355800,7635400
356000,7635400
356200,7635400
356400,7635400
356600,7635400
356800,7635400
357000,7635400
357200,7635400
357400,7635400
357600,7635400
357800,7635400
358000,7635400
358200,7635400
358400,7635400
358600,7635400
358800,7635400
359000,7635400
359200,7635400
359400,7635400
359600,7635400
359800,7635400
360000,7635400
360200,7635400
360400,7635400
360600,7635400
360800,7635400
361000,7635400
361200,7635400
361400,7635400
361600,7635400
361800,7635400
362000,7635400
362200,7635400
362400,7635400
362600,7635400
362800,7635400
351800,7635600
352000,7635600
354000,7635600
354200,7635600
354400,7635600
354600,7635600
354800,7635600
355000,7635600
355200,7635600
355400,7635600
355600,7635600
355800,7635600
356000,7635600
356200,7635600
356400,7635600
356600,7635600
356800,7635600
357000,7635600
357200,7635600
357400,7635600
357600,7635600
357800,7635600
358000,7635600
358200,7635600
358400,7635600
358600,7635600
358800,7635600
359000,7635600
359200,7635600
359400,7635600
359600,7635600
359800,7635600
360000,7635600
360200,7635600
360400,7635600
360600,7635600
360800,7635600
361000,7635600
361200,7635600
361400,7635600
361600,7635600
361800,7635600
362000,7635600
362200,7635600
362400,7635600
362600,7635600
362800,7635600
349800,7635800
351600,7635800
351800,7635800
352000,7635800
352200,7635800
352400,7635800
352600,7635800
353800,7635800
354000,7635800
354200,7635800
354400,7635800
354600,7635800
354800,7635800
355000,7635800
355200,7635800
355400,7635800
355600,7635800
355800,7635800
356000,7635800
356200,7635800
356400,7635800
356600,7635800
356800,7635800
357000,7635800
357200,7635800
357400,7635800
357600,7635800
357800,7635800
358000,7635800
358200,7635800
358400,7635800
358600,7635800
358800,7635800
359000,7635800
359200,7635800
359400,7635800
359600,7635800
359800,7635800
360000,7635800
360200,7635800
360400,7635800
360600,7635800
360800,7635800
361000,7635800
361200,7635800
361400,7635800
361600,7635800
361800,7635800
362000,7635800
362200,7635800
362400,7635800
362600,7635800
362800,7635800
363000,7635800
364000,7635800
364200,7635800
364400,7635800
364600,7635800
364800,7635800
365000,7635800
365200,7635800
365400,7635800
365600,7635800
365800,7635800
366000,7635800
366200,7635800
366600,7635800
366800,7635800
349800,7636000
350000,7636000
350400,7636000
350600,7636000
350800,7636000
351000,7636000
351200,7636000
351400,7636000
351600,7636000
351800,7636000
352000,7636000
352200,7636000
352400,7636000
352600,7636000
352800,7636000
353000,7636000
353200,7636000
353600,7636000
353800,7636000
354000,7636000
354200,7636000
354400,7636000
354600,7636000
354800,7636000
355000,7636000
355200,7636000
355400,7636000
355600,7636000
355800,7636000
356000,7636000
356200,7636000
356400,7636000
356600,7636000
356800,7636000
357000,7636000
357200,7636000
357400,7636000
357600,7636000
357800,7636000
358000,7636000
358200,7636000
358400,7636000
358600,7636000
358800,7636000
359000,7636000
359200,7636000
359400,7636000
359600,7636000
359800,7636000
360000,7636000
360200,7636000
360400,7636000
360600,7636000
360800,7636000
361000,7636000
361200,7636000
361400,7636000
361600,7636000
361800,7636000
362000,7636000
362200,7636000
362400,7636000
362600,7636000
362800,7636000
363000,7636000
363200,7636000
363400,7636000
363600,7636000
363800,7636000
364000,7636000
364200,7636000
364400,7636000
364600,7636000
364800,7636000
365000,7636000
365200,7636000
365400,7636000
365600,7636000
365800,7636000
366000,7636000
366200,7636000
366400,7636000
366600,7636000
366800,7636000
367000,7636000
367200,7636000
367400,7636000
349600,7636200
349800,7636200
350000,7636200
350200,7636200
350400,7636200
350600,7636200
350800,7636200
351000,7636200
351200,7636200
351400,7636200
351600,7636200
351800,7636200
352000,7636200
352200,7636200
352400,7636200
352600,7636200
352800,7636200
353000,7636200
353200,7636200
353400,7636200
353600,7636200
353800,7636200
354000,7636200
354200,7636200
354400,7636200
354600,7636200
354800,7636200
355000,7636200
355200,7636200
355400,7636200
355600,7636200
355800,7636200
356000,7636200
356200,7636200
356400,7636200
356600,7636200
356800,7636200
357000,7636200
357200,7636200
357400,7636200
357600,7636200
357800,7636200
358000,7636200
358200,7636200
358400,7636200
358600,7636200
358800,7636200
359000,7636200
359200,7636200
359400,7636200
359600,7636200
359800,7636200
360000,7636200
360200,7636200
360400,7636200
360600,7636200
360800,7636200
361000,7636200
361200,7636200
361400,7636200
361600,7636200
361800,7636200
362000,7636200
362200,7636200
362400,7636200
362600,7636200
362800,7636200
363000,7636200
363200,7636200
363400,7636200
363600,7636200
363800,7636200
364000,7636200
364200,7636200
364400,7636200
364600,7636200
364800,7636200
365000,7636200
365200,7636200
365400,7636200
365600,7636200
365800,7636200
366000,7636200
366200,7636200
366400,7636200
366600,7636200
366800,7636200
367000,7636200
367200,7636200
367400,7636200
367600,7636200
367800,7636200
349400,7636400
349600,7636400
349800,7636400
350000,7636400
350200,7636400
350400,7636400
350600,7636400
350800,7636400
351000,7636400
351200,7636400
351400,7636400
351600,7636400
351800,7636400
352000,7636400
352200,7636400
352400,7636400
352600,7636400
352800,7636400
353000,7636400
353200,7636400
353400,7636400
353600,7636400
353800,7636400
354000,7636400
354200,7636400
354400,7636400
354600,7636400
354800,7636400
355000,7636400
355200,7636400
355400,7636400
355600,7636400
355800,7636400
356000,7636400
356200,7636400
356400,7636400
356600,7636400
356800,7636400
357000,7636400
357200,7636400
357400,7636400
357600,7636400
357800,7636400
358000,7636400
358200,7636400
358400,7636400
358600,7636400
358800,7636400
359000,7636400
359200,7636400
359400,7636400
359600,7636400
359800,7636400
360000,7636400
360200,7636400
360400,7636400
360600,7636400
360800,7636400
361000,7636400
361200,7636400
361400,7636400
361600,7636400
361800,7636400
362000,7636400
362200,7636400
362400,7636400
362600,7636400
362800,7636400
363000,7636400
363200,7636400
363400,7636400
363600,7636400
363800,7636400
364000,7636400
364200,7636400
364400,7636400
364600,7636400
364800,7636400
365000,7636400
365200,7636400
365400,7636400
365600,7636400
365800,7636400
366000,7636400
366200,7636400
366400,7636400
366600,7636400
366800,7636400
367000,7636400
367200,7636400
367400,7636400
367600,7636400
367800,7636400
368000,7636400
368600,7636400
348800,7636600
349000,7636600
349200,7636600
349400,7636600
349600,7636600
349800,7636600
350000,7636600
350200,7636600
350400,7636600
350600,7636600
350800,7636600
351000,7636600
351200,7636600
351400,7636600
351600,7636600
351800,7636600
352000,7636600
352200,7636600
352400,7636600
352600,7636600
352800,7636600
353000,7636600
353200,7636600
353400,7636600
353600,7636600
353800,7636600
354000,7636600
354200,7636600
354400,7636600
354600,7636600
354800,7636600
355000,7636600
355200,7636600
355400,7636600
355600,7636600
355800,7636600
356000,7636600
356200,7636600
356400,7636600
356600,7636600
356800,7636600
357000,7636600
357200,7636600
357400,7636600
357600,7636600
357800,7636600
358000,7636600
358200,7636600
358400,7636600
358600,7636600
358800,7636600
359000,7636600
359200,7636600
359400,7636600
359600,7636600
359800,7636600
360000,7636600
360200,7636600
360400,7636600
360600,7636600
360800,7636600
361000,7636600
361200,7636600
361400,7636600
361600,7636600
361800,7636600
362000,7636600
362200,7636600
362400,7636600
362600,7636600
362800,7636600
363000,7636600
363200,7636600
363400,7636600
363600,7636600
363800,7636600
364000,7636600
364200,7636600
364400,7636600
364600,7636600
364800,7636600
365000,7636600
365200,7636600
365400,7636600
365600,7636600
365800,7636600
366000,7636600
366200,7636600
366400,7636600
366600,7636600
366800,7636600
367000,7636600
367200,7636600
367400,7636600
367600,7636600
367800,7636600
368000,7636600
368200,7636600
368400,7636600
368600,7636600
368800,7636600
369000,7636600
369200,7636600
369400,7636600
369600,7636600
369800,7636600
370000,7636600
348600,7636800
348800,7636800
349000,7636800
349200,7636800
349400,7636800
349600,7636800
349800,7636800
350000,7636800
350200,7636800
350400,7636800
350600,7636800
350800,7636800
351000,7636800
351200,7636800
351400,7636800
351600,7636800
351800,7636800
352000,7636800
352200,7636800
352400,7636800
352600,7636800
352800,7636800
353000,7636800
353200,7636800
353400,7636800
353600,7636800
353800,7636800
354000,7636800
354200,7636800
354400,7636800
354600,7636800
354800,7636800
355000,7636800
355200,7636800
355400,7636800
355600,7636800
355800,7636800
356000,7636800
356200,7636800
356400,7636800
356600,7636800
356800,7636800
357000,7636800
357200,7636800
357400,7636800
357600,7636800
357800,7636800
358000,7636800
358200,7636800
358400,7636800
358600,7636800
358800,7636800
359000,7636800
359200,7636800
359400,7636800
359600,7636800
359800,7636800
360000,7636800
360200,7636800
360400,7636800
360600,7636800
360800,7636800
361000,7636800
361200,7636800
361400,7636800
361600,7636800
361800,7636800
362000,7636800
362200,7636800
362400,7636800
362600,7636800
362800,7636800
363000,7636800
363200,7636800
363400,7636800
363600,7636800
363800,7636800
364000,7636800
364200,7636800
364400,7636800
364600,7636800
364800,7636800
365000,7636800
365200,7636800
365400,7636800
365600,7636800
365800,7636800
366000,7636800
366200,7636800
366400,7636800
366600,7636800
366800,7636800
367000,7636800
367200,7636800
367400,7636800
367600,7636800
367800,7636800
368000,7636800
368200,7636800
368400,7636800
368600,7636800
368800,7636800
369000,7636800
369200,7636800
369400,7636800
369600,7636800
369800,7636800
370000,7636800
370200,7636800
370400,7636800
370600,7636800
347600,7637000
347800,7637000
348000,7637000
348200,7637000
348400,7637000
348600,7637000
348800,7637000
349000,7637000
349200,7637000
349400,7637000
349600,7637000
349800,7637000
350000,7637000
350200,7637000
350400,7637000
350600,7637000
350800,7637000
351000,7637000
351200,7637000
351400,7637000
351600,7637000
351800,7637000
352000,7637000
352200,7637000
352400,7637000
352600,7637000
352800,7637000
353000,7637000
353200,7637000
353400,7637000
353600,7637000
353800,7637000
354000,7637000
354200,7637000
354400,7637000
354600,7637000
354800,7637000
355000,7637000
355200,7637000
355400,7637000
355600,7637000
355800,7637000
356000,7637000
356200,7637000
356400,7637000
356600,7637000
356800,7637000
357000,7637000
357200,7637000
357400,7637000
357600,7637000
357800,7637000
358000,7637000
358200,7637000
358400,7637000
358600,7637000
358800,7637000
359000,7637000
359200,7637000
359400,7637000
359600,7637000
359800,7637000
360000,7637000
360200,7637000
360400,7637000
360600,7637000
360800,7637000
361000,7637000
361200,7637000
361400,7637000
361600,7637000
361800,7637000
362000,7637000
362200,7637000
362400,7637000
362600,7637000
362800,7637000
363000,7637000
363200,7637000
363400,7637000
363600,7637000
363800,7637000
364000,7637000
364200,7637000
364400,7637000
364600,7637000
364800,7637000
365000,7637000
365200,7637000
365400,7637000
365600,7637000
365800,7637000
366000,7637000
366200,7637000
366400,7637000
366600,7637000
366800,7637000
367000,7637000
367200,7637000
367400,7637000
367600,7637000
367800,7637000
368000,7637000
368200,7637000
368400,7637000
368600,7637000
368800,7637000
369000,7637000
369200,7637000
369400,7637000
369600,7637000
369800,7637000
370000,7637000
370200,7637000
370400,7637000
370600,7637000
370800,7637000
372200,7637000
372400,7637000
372600,7637000
372800,7637000
347200,7637200
347400,7637200
347600,7637200
347800,7637200
348000,7637200
348200,7637200
348400,7637200
348600,7637200
348800,7637200
349000,7637200
349200,7637200
349400,7637200
349600,7637200
349800,7637200
350000,7637200
350200,7637200
350400,7637200
350600,7637200
350800,7637200
351000,7637200
351200,7637200
351400,7637200
351600,7637200
351800,7637200
352000,7637200
352200,7637200
352400,7637200
352600,7637200
352800,7637200
353000,7637200
353200,7637200
353400,7637200
353600,7637200
353800,7637200
354000,7637200
354200,7637200
354400,7637200
354600,7637200
354800,7637200
355000,7637200
355200,7637200
355400,7637200
355600,7637200
355800,7637200
356000,7637200
356200,7637200
356400,7637200
356600,7637200
356800,7637200
357000,7637200
357200,7637200
357400,7637200
357600,7637200
357800,7637200
358000,7637200
358200,7637200
358400,7637200
358600,7637200
358800,7637200
359000,7637200
359200,7637200
359400,7637200
359600,7637200
359800,7637200
360000,7637200
360200,7637200
360400,7637200
360600,7637200
360800,7637200
361000,7637200
361200,7637200
361400,7637200
361600,7637200
361800,7637200
362000,7637200
362200,7637200
362400,7637200
362600,7637200
362800,7637200
363000,7637200
363200,7637200
363400,7637200
363600,7637200
363800,7637200
364000,7637200
364200,7637200
364400,7637200
364600,7637200
364800,7637200
365000,7637200
365200,7637200
365400,7637200
365600,7637200
365800,7637200
366000,7637200
366200,7637200
366400,7637200
366600,7637200
366800,7637200
367000,7637200
367200,7637200
367400,7637200
367600,7637200
367800,7637200
368000,7637200
368200,7637200
368400,7637200
368600,7637200
368800,7637200
369000,7637200
369200,7637200
369400,7637200
369600,7637200
369800,7637200
370000,7637200
370200,7637200
370400,7637200
370600,7637200
370800,7637200
371000,7637200
371200,7637200
371400,7637200
371600,7637200
371800,7637200
372000,7637200
372200,7637200
372400,7637200
372600,7637200
372800,7637200
373000,7637200
373200,7637200
346800,7637400
347000,7637400
347200,7637400
347400,7637400
347600,7637400
347800,7637400
348000,7637400
348200,7637400
348400,7637400
348600,7637400
348800,7637400
349000,7637400
349200,7637400
349400,7637400
349600,7637400
349800,7637400
350000,7637400
350200,7637400
350400,7637400
350600,7637400
350800,7637400
351000,7637400
351200,7637400
351400,7637400
351600,7637400
351800,7637400
352000,7637400
352200,7637400
352400,7637400
352600,7637400
352800,7637400
353000,7637400
353200,7637400
353400,7637400
353600,7637400
353800,7637400
354000,7637400
354200,7637400
354400,7637400
354600,7637400
354800,7637400
355000,7637400
355200,7637400
355400,7637400
355600,7637400
355800,7637400
356000,7637400
356200,7637400
356400,7637400
356600,7637400
356800,7637400
357000,7637400
357200,7637400
357400,7637400
357600,7637400
357800,7637400
358000,7637400
358200,7637400
358400,7637400
358600,7637400
358800,7637400
359000,7637400
359200,7637400
359400,7637400
359600,7637400
359800,7637400
360000,7637400
360200,7637400
360400,7637400
360600,7637400
360800,7637400
361000,7637400
361200,7637400
361400,7637400
361600,7637400
361800,7637400
362000,7637400
362200,7637400
362400,7637400
362600,7637400
362800,7637400
363000,7637400
363200,7637400
363400,7637400
363600,7637400
363800,7637400
364000,7637400
364200,7637400
364400,7637400
364600,7637400
364800,7637400
365000,7637400
365200,7637400
365400,7637400
365600,7637400
365800,7637400
366000,7637400
366200,7637400
366400,7637400
366600,7637400
366800,7637400
367000,7637400
367200,7637400
367400,7637400
367600,7637400
367800,7637400
368000,7637400
368200,7637400
368400,7637400
368600,7637400
368800,7637400
369000,7637400
369200,7637400
369400,7637400
369600,7637400
369800,7637400
370000,7637400
370200,7637400
370400,7637400
370600,7637400
370800,7637400
371000,7637400
371200,7637400
371400,7637400
371600,7637400
371800,7637400
372000,7637400
372200,7637400
372400,7637400
372600,7637400
372800,7637400
373000,7637400
373200,7637400
373400,7637400
373600,7637400
373800,7637400
346200,7637600
346400,7637600
346600,7637600
346800,7637600
347000,7637600
347200,7637600
347400,7637600
347600,7637600
347800,7637600
348000,7637600
348200,7637600
348400,7637600
348600,7637600
348800,7637600
349000,7637600
349200,7637600
349400,7637600
349600,7637600
349800,7637600
350000,7637600
350200,7637600
350400,7637600
350600,7637600
350800,7637600
351000,7637600
351200,7637600
351400,7637600
351600,7637600
351800,7637600
352000,7637600
352200,7637600
352400,7637600
352600,7637600
352800,7637600
353000,7637600
353200,7637600
353400,7637600
353600,7637600
353800,7637600
354000,7637600
354200,7637600
354400,7637600
354600,7637600
354800,7637600
355000,7637600
355200,7637600
355400,7637600
355600,7637600
355800,7637600
356000,7637600
356200,7637600
356400,7637600
356600,7637600
356800,7637600
357000,7637600
357200,7637600
357400,7637600
357600,7637600
357800,7637600
358000,7637600
358200,7637600
358400,7637600
358600,7637600
358800,7637600
359000,7637600
359200,7637600
359400,7637600
359600,7637600
359800,7637600
360000,7637600
360200,7637600
360400,7637600
360600,7637600
360800,7637600
361000,7637600
361200,7637600
361400,7637600
361600,7637600
361800,7637600
362000,7637600
362200,7637600
362400,7637600
362600,7637600
362800,7637600
363000,7637600
363200,7637600
363400,7637600
363600,7637600
363800,7637600
364000,7637600
364200,7637600
364400,7637600
364600,7637600
364800,7637600
365000,7637600
365200,7637600
365400,7637600
365600,7637600
365800,7637600
366000,7637600
366200,7637600
366400,7637600
366600,7637600
366800,7637600
367000,7637600
367200,7637600
367400,7637600
367600,7637600
367800,7637600
368000,7637600
368200,7637600
368400,7637600
368600,7637600
368800,7637600
369000,7637600
369200,7637600
369400,7637600
369600,7637600
369800,7637600
370000,7637600
370200,7637600
370400,7637600
370600,7637600
370800,7637600
371000,7637600
371200,7637600
371400,7637600
371600,7637600
371800,7637600
372000,7637600
372200,7637600
372400,7637600
372600,7637600
372800,7637600
373000,7637600
373200,7637600
373400,7637600
373600,7637600
373800,7637600
345600,7637800
345800,7637800
346000,7637800
346200,7637800
346400,7637800
346600,7637800
346800,7637800
347000,7637800
347200,7637800
347400,7637800
347600,7637800
347800,7637800
348000,7637800
348200,7637800
348400,7637800
348600,7637800
348800,7637800
349000,7637800
349200,7637800
349400,7637800
349600,7637800
349800,7637800
350000,7637800
350200,7637800
350400,7637800
350600,7637800
350800,7637800
351000,7637800
351200,7637800
351400,7637800
351600,7637800
351800,7637800
352000,7637800
352200,7637800
352400,7637800
352600,7637800
352800,7637800
353000,7637800
353200,7637800
353400,7637800
353600,7637800
353800,7637800
354000,7637800
354200,7637800
354400,7637800
354600,7637800
354800,7637800
355000,7637800
355200,7637800
355400,7637800
355600,7637800
355800,7637800
356000,7637800
356200,7637800
356400,7637800
356600,7637800
356800,7637800
357000,7637800
357200,7637800
357400,7637800
357600,7637800
357800,7637800
358000,7637800
358200,7637800
358400,7637800
358600,7637800
358800,7637800
359000,7637800
359200,7637800
359400,7637800
359600,7637800
359800,7637800
360000,7637800
360200,7637800
360400,7637800
360600,7637800
360800,7637800
361000,7637800
361200,7637800
361400,7637800
361600,7637800
361800,7637800
362000,7637800
362200,7637800
362400,7637800
362600,7637800
362800,7637800
363000,7637800
363200,7637800
363400,7637800
363600,7637800
363800,7637800
364000,7637800
364200,7637800
364400,7637800
364600,7637800
364800,7637800
365000,7637800
365200,7637800
365400,7637800
365600,7637800
365800,7637800
366000,7637800
366200,7637800
366400,7637800
366600,7637800
366800,7637800
367000,7637800
367200,7637800
367400,7637800
367600,7637800
367800,7637800
368000,7637800
368200,7637800
368400,7637800
368600,7637800
368800,7637800
369000,7637800
369200,7637800
369400,7637800
369600,7637800
369800,7637800
370000,7637800
370200,7637800
370400,7637800
370600,7637800
370800,7637800
371000,7637800
371200,7637800
371400,7637800
371600,7637800
371800,7637800
372000,7637800
372200,7637800
372400,7637800
372600,7637800
372800,7637800
373000,7637800
373200,7637800
373400,7637800
373600,7637800
373800,7637800
374000,7637800
345200,7638000
345400,7638000
345600,7638000
345800,7638000
346000,7638000
346200,7638000
346400,7638000
346600,7638000
346800,7638000
347000,7638000
347200,7638000
347400,7638000
347600,7638000
347800,7638000
348000,7638000
348200,7638000
348400,7638000
348600,7638000
348800,7638000
349000,7638000
349200,7638000
349400,7638000
349600,7638000
349800,7638000
350000,7638000
350200,7638000
350400,7638000
350600,7638000
350800,7638000
351000,7638000
351200,7638000
351400,7638000
351600,7638000
351800,7638000
352000,7638000
352200,7638000
352400,7638000
352600,7638000
352800,7638000
353000,7638000
353200,7638000
353400,7638000
