x,y,houhold,phouhold
363900,7636100,20.085365853658537,6.695121951219512
365700,7635900,1.5957446808510638,0.4787234042553192
364700,7636300,0.9574468085106383,0.2872340425531915
365900,7635900,10.212765957446809,3.0638297872340425
364300,7636700,5.74468085106383,1.7234042553191489
365900,7636100,34.148936170212764,10.24468085106383
364300,7636100,2.5531914893617023,0.7659574468085106
365700,7636100,4.148936170212766,1.2446808510638299
364500,7636500,0.6382978723404256,0.19148936170212766
366100,7635900,5.837837837837838,2.108108108108108
366100,7636100,30.16216216216216,10.891891891891891
366300,7636100,20.070422535211268,4.014084507042254
366300,7635900,4.929577464788732,0.9859154929577465
366500,7635900,0.7924528301886793,0.22641509433962265
366500,7636100,20.20754716981132,5.773584905660377
349900,7636100,1.03125,0.46875
349900,7636500,1.375,0.625
349900,7636300,8.59375,3.90625
350100,7636700,3.3684210526315788,0.5263157894736842
350100,7636100,2.9473684210526314,0.4605263157894737
350100,7636300,25.68421052631579,4.0131578947368425
350300,7636100,0.3389830508474576,0.1016949152542373
350500,7636100,19.661016949152543,5.898305084745763
350700,7636100,13.714285714285714,2.5714285714285716
350900,7636100,2.2857142857142856,0.42857142857142855
351100,7636100,13,2
351300,7636100,17,2
351700,7636100,0.8181818181818182,0.18181818181818182
351500,7636100,4.909090909090909,1.0909090909090908
351500,7636300,9.818181818181818,2.1818181818181817
351700,7636300,2.4545454545454546,0.5454545454545454
352100,7636300,3.2432432432432434,1.2972972972972974
352100,7636500,13.513513513513514,5.405405405405405
352100,7636100,3.2432432432432434,1.2972972972972974
352300,7636100,5.019607843137255,2.6666666666666665
352300,7636300,26.980392156862745,14.333333333333334
352500,7636300,7.090909090909091,2.1818181818181817
352500,7636100,5.909090909090909,1.8181818181818181
353300,7636100,14.426229508196721,1.3114754098360655
353100,7636100,4.688524590163935,0.4262295081967213
352900,7636100,1.4426229508196722,0.13114754098360656
353100,7636300,1.4426229508196722,0.13114754098360656
353700,7636100,3,0.42857142857142855
353500,7636100,18,2.5714285714285716
353900,7636100,1.6666666666666667,0.7575757575757576
354100,7636100,9.333333333333334,4.242424242424242
354500,7636100,0.2833333333333333,0.11666666666666667
354300,7636100,16.716666666666665,6.883333333333334
355300,7636100,16,5
356100,7636100,7.007407407407407,1.7925925925925925
355900,7636100,35.992592592592594,9.207407407407407
356300,7636100,28,6
356500,7636100,59,28
356700,7636100,61,20
356900,7636100,33,13
357100,7636100,38,13
357500,7636100,7.5,1.6666666666666667
357300,7636100,28.5,6.333333333333333
357700,7636100,1.8181818181818181,0.6060606060606061
357700,7636300,6.909090909090909,2.303030303030303
357900,7636100,3.272727272727273,1.0909090909090908
358100,7636100,17.647058823529413,2.6470588235294117
358100,7636300,2.3529411764705883,0.35294117647058826
358300,7636100,26,11
358500,7636100,35,17
358900,7636100,1.2363636363636363,0.7272727272727273
358700,7636100,15.763636363636364,9.272727272727273
361300,7636100,7.8,3.6
361500,7636100,5.2,2.4
361700,7636100,19,3
361900,7636100,13,2
362100,7636100,38,21
362300,7636100,32,7
362700,7636100,5.571428571428571,1.5
362500,7636100,20.428571428571427,5.5
362900,7636100,55,39
363100,7636100,11,6
363300,7636100,18,6
363500,7636500,4.490566037735849,2.1132075471698113
363500,7636300,6.735849056603773,3.169811320754717
363500,7636100,5.773584905660377,2.7169811320754715
366700,7636100,28,8
366900,7636100,25,12
367100,7636100,13,7
367300,7636100,7.25,2.5
367300,7636300,50.75,17.5
350500,7636300,4.333333333333333,2
350300,7636300,8.666666666666666,4
350700,7636500,4.1454545454545455,1.0909090909090908
350900,7636300,3.109090909090909,0.8181818181818182
350700,7636300,11.745454545454546,3.090909090909091
351300,7636300,23.5609756097561,1.6829268292682926
351100,7636300,4.439024390243903,0.3170731707317073
354100,7636300,4.7272727272727275,1.4772727272727273
354300,7636500,1.8181818181818181,0.5681818181818182
354300,7636300,7.2727272727272725,2.272727272727273
354500,7636500,1.4545454545454546,0.45454545454545453
