SP95,x,y,nbStations
1.349,452462.9776234849,6617221.546016591,1
1.349,418331.0834651762,6424565.839024242,1
1.339,863552.4903486688,6330163.856154029,1
1.335,1077292.737666226,6887292.900419318,1
1.305,674391.6629688772,6177055.894026805,1
1.329,777837.7080220163,6282853.712123793,1
1.299,816705.4096515536,6485838.537345862,1
1.376,651452.8508504224,6266730.540582854,1
1.44,995214.4782814675,6717263.264463315,1
1.349,532169.110107915,6751418.786282589,1
1.399,660090.2726506277,6563386.583422307,1
1.44,1023388.1192657305,6783037.504250406,1
1.391,592316.627689019,7010305.168106011,1
1.399,770166.6025904784,6926589.698829684,1
1.51,673338.2697426339,6464936.6276827715,1
1.435,468931.0348962703,6628776.309319334,1
1.439,912248.6350173674,6235166.556963578,1
1.29,960090.4255055622,6838232.800514012,1
1.468,625615.8682550202,6756175.197615792,1
1.353,396791.86599562934,6271770.872440841,1
1.312,642795.3600323828,6476386.234457849,1
1.368,576606.9002956988,6484589.211318096,1
1.362,715555.8391718592,6553347.738619903,1
1.329,561329.9056056833,6695118.385088131,1
1.397,857296.0955474908,6636981.437365436,1
1.289,364403.4017323188,6575754.774834058,1
1.311,958477.0697173442,6477573.702857793,1
1.329,409342.0379253067,6255146.892229705,1
1.313,256618.82422497153,6869481.280389413,1
1.385,769048.1226733341,6276992.847698528,1
1.379,729022.6906745144,6985205.641459656,1
1.399,612737.5878950494,7013310.259141512,1
1.499,706406.1279870475,6842675.256352046,1
1.339,559620.1682200781,6976511.338686645,1
1.297,401860.1097739314,6419344.23185504,1
1.329,504611.87341761286,6621598.129592473,1
1.362,683052.4702613193,6782641.583532445,1
1.399,635350.9079408937,6857980.947891693,1
1.377,793464.268849159,6687600.199838462,1
1.49,780843.2995669101,6311955.606531078,1
1.349,844279.3497400382,6513774.423141166,1
1.403,874790.6854355766,6338602.176932343,1
1.283,898457.7596909618,6247059.017187094,1
1.312,685887.3643448823,6364960.094549872,1
1.52,662452.9201209494,6860634.264441332,1
1.475,518525.16749264085,6827555.963696303,1
1.346,1023140.9543457455,6283025.186824489,1
1.352,866245.2144770715,6259814.208736715,1
1.315,566012.2411354574,6880178.797016742,1
1.369,896607.4793134277,6469187.547192668,1
1.51,1195553.0088299182,6155969.791297723,1
1.347,558443.5097649207,6426179.599998864,1
1.304,568352.9507977485,6527204.71765176,1
1.67,623035.2294259267,6283152.093424895,1
1.499,799670.3215440381,6894128.481412522,1
1.359,465391.574617372,6720928.5626276005,1
1.379,402713.71634513803,6882041.329260503,1
1.479,874889.5582979117,6773160.013837956,1
1.53,1181201.866174297,6174337.672342474,1
1.389,739792.6209366261,6456735.921226029,1
1.308,776112.9217405504,6544121.650182659,1
1.36,550050.8783769305,6312646.325160234,1
1.299,440853.9760875836,6553200.9713710835,1
1.399,648121.2797713514,6869790.047018809,1
1.31,588432.6397565372,6889335.690671244,1
1.308,717178.2756538617,6824596.442512726,1
1.299,310657.4905836104,6815010.287628029,1
1.37,779223.4860417672,6286565.23390373,1
1.289,296938.4255229906,6698304.211273826,1
1.415,965909.5201497814,6279625.325242714,1
1.369,932369.8884366462,6745158.0822955305,1
1.319,1035984.1968792472,6860561.882941089,1
1.304,952278.3454423991,6563207.488995165,1
1.307,498251.06180460623,6246989.04076704,1
1.289,527904.4592033251,6708147.793197175,1
1.34,628871.8436360423,6871826.322773118,1
1.335,392512.87238161376,6473157.355387862,1
1.329,667725.2676201984,7070549.291453267,1
1.364,665551.4809877826,6242909.037581823,1
1.469,425604.6952085185,6261372.39569724,1
1.344,664960.6117280277,6867385.079044753,1
1.5,735461.390076021,6373056.693323226,1
1.355,629690.6509885953,6274491.328399993,1
1.349,174546.8773153408,6789930.820527522,1
1.519,771140.5277967497,6551926.0969127305,1
1.303,787702.5343810008,6450029.514448737,1
1.294,370586.4533948443,6402189.192968701,1
1.371,680733.8112590937,6749484.226197183,1
1.349,671338.2474821135,6864253.553216801,1
1.48,1056445.2535885295,6303965.324362605,1
1.435,636549.156789639,6556744.269662515,1
1.446,791382.386959446,6525673.396653151,1
1.361,435938.41761823616,6903773.205361937,1
1.58,763384.3568836284,6908669.61527328,1
1.49,409441.32729119255,6602327.862663071,1
1.378,739347.2869175758,6753347.394435463,1
1.301,412832.05521944445,6303648.0965551175,1
1.479,1179953.4790636005,6112245.309922679,1
1.332,482630.67286878,6550716.685360244,1
1.55,1232322.6520252018,6105915.981326673,1
1.309,272626.4513081409,6803384.642684803,1
1.368,541020.2704694029,6414361.634277041,1
1.426,859919.9132662778,6328077.654174558,1
1.371,578452.068339291,6456005.392906767,1
1.399,494783.3468997684,6874146.505245372,1
1.314,967776.911660274,6587623.805885805,1
1.358,942052.8282993182,6540246.84052579,1
1.39,955669.2099961007,6521958.614473758,1
1.379,664161.6742226088,6584796.932448995,1
1.379,379040.32382087974,6498896.700040273,1
1.382,701287.3225804939,6676190.534565669,1
1.332,608228.3941394001,6377292.969583841,1
1.339,414889.821760895,6867256.504441446,1
1.299,859196.287255465,6506421.8447204335,1
1.468,847760.0475672764,6519627.241098155,1
1.301,334085.7850247399,6613088.10092586,1
1.51,370042.2870655549,6295308.974538904,1
1.362,658814.7123220643,7106197.478811811,1
1.479,711313.4289809569,7017811.244833812,1
1.45,532522.8001791099,6448006.917233928,1
1.34,931509.3026986249,6853757.317376589,1
1.349,656563.4242636808,6708456.53669485,1
1.296,847712.7646115867,6418530.911690835,1
1.359,667446.620731898,6870131.984485262,1
1.379,973357.8327901858,6495343.449620011,1
1.394,679440.5651956949,6664620.800753784,1
1.29,505475.53480857075,6737101.03739366,1
1.45,696687.4032668577,6498107.661780789,1
1.32,496891.55052094394,6519137.680538792,1
1.318,465806.6949856676,6246368.767922585,1
1.349,672030.7538826866,7039728.345509896,1
1.339,369627.49559357116,6692142.835468568,1
1.47,291114.72297085857,6743369.261253485,1
1.369,543189.85444422625,6245096.194898175,1
1.458,829450.503514456,6542478.622836964,1
1.359,774021.4245983002,6866934.887286418,1
1.399,952729.6600029804,6379387.4998066975,1
1.349,1064094.5160332338,6878398.167194074,1
1.538,609013.7919655056,6469354.207362247,1
1.59,645257.3248390653,6869149.195319321,1
1.399,749817.8435293842,6409171.114549228,1
1.459,705814.2627337382,6804050.990982243,1
1.383,423065.50074185163,6786626.797027847,1
1.379,680926.0187032893,6265445.570174761,1
1.369,338638.77705199906,6834671.721707727,1
1.377,656494.9069624713,6679075.439348603,1
1.49,1236886.924556658,6164148.438873934,1
1.31,423129.5860252778,6426137.815911405,1
1.359,496598.8621162737,6519742.935000926,1
1.329,464857.63851599506,6872210.66530595,1
1.342,817647.2497126928,6849026.650810255,1
1.312,643952.7261342779,6234357.149343585,1
1.5,705122.419295,6771428.684235877,1
1.369,414877.194586475,6663482.290008915,1
1.418,836037.1411369683,6521434.418096439,1
1.365,381395.8309509108,6399500.351669559,1
1.45,351783.1808604813,6263480.176944642,1
1.339,656462.0593615203,6849500.2695352975,1
1.306,859630.4989831895,6933785.442986623,1
1.479,646809.0930643876,7100776.059783045,1
1.342,535218.3908472102,6593200.223206869,1
1.429,941624.2979420917,6537250.745435175,1
1.395,977377.2348190718,6436492.152199089,1
1.379,714644.7802336669,6273691.446888114,1
1.376,621227.0209073995,6926638.884467051,1
1.354,673690.9779967206,6731997.469096708,1
1.417,608068.0474785825,6951074.792889913,1
1.419,906575.7663342986,6246096.995774157,1
1.343,942424.3961545145,6229934.653240807,1
1.296,381651.21791563154,6941211.383431979,1
1.307,767846.003050751,6710264.651429498,1
1.479,843585.358884016,6824350.823437638,1
1.452,934313.5817894953,6227460.972869146,1
1.355,708167.6635226193,6655378.070331288,1
1.389,583407.5119742452,6526985.1942170905,1
1.469,857062.9064868623,6690754.258684104,1
1.349,189785.47846876032,6778551.897702844,1
1.449,958103.3627816732,6257924.103793292,1
1.369,858857.6566844059,6333350.7172524845,1
1.297,709714.9414266142,7035310.328530684,1
1.394,748946.3909675131,6639637.507288962,1
1.389,664226.819308819,7078030.451465184,1
1.422,844335.5329841786,6443038.702369642,1
1.359,601690.4634596268,6181888.689099576,1
1.413,994497.5559379335,6269252.343677572,1
1.379,708146.4520981329,6786419.117806951,1
1.468,918742.2949884797,6291208.622939372,1
1.359,613452.8208876133,7083306.807435573,1
1.345,422719.3203094163,6753551.915571872,1
1.319,396843.9783938371,6706488.952012273,1
1.5,570689.0846672915,6231538.622869248,1
1.359,258351.54625929246,6843285.8611148335,1
1.295,689405.0973878094,6943431.8932667,1
1.339,822928.2856907332,6491271.432466732,1
1.431,485520.44692217326,6820067.338648258,1
1.389,932118.3249248837,6894081.438433783,1
1.469,1182694.0300749163,6106159.044343008,1
1.535,693356.7974323862,6672908.459949107,1
1.399,541020.9152624395,6933741.421563694,1
1.359,640301.1452554469,6672963.48664945,1
1.359,959633.438754187,6258158.114830817,1
1.299,262244.80353470467,6790404.277103827,1
1.369,803373.1489898147,6543307.937068697,1
1.419,880146.5521061153,6260361.702573959,1
1.312,183627.96393551852,6776994.7909260765,1
1.349,164998.7826636195,6799955.279850421,1
1.349,398951.1150863829,6838176.995944905,1
1.598,648084.553736913,6863991.740041047,1
1.339,583450.8533155606,6573210.992068503,1
1.459,930935.048651022,6526793.5219789995,1
1.52,1227461.4206089983,6191166.450759423,1
1.389,142453.73080901895,6797799.117459982,1
1.42,973979.0731574369,6276748.617220923,1
1.345,872763.0533515798,6569070.616436428,1
1.342,662611.6344582761,6908656.844828249,1
1.449,910121.0040891796,6899389.8241349505,1
1.31,705443.3712577006,6357855.000864444,1
1.59,480210.0336147958,6419011.1939368155,1
1.3,707132.9242634058,6752939.385329973,1
1.4,440546.39994207607,6687029.813582997,1
1.339,696063.6722821651,7047824.653031657,1
1.48,800084.0834178603,6922942.717316903,1
1.331,842268.4827408933,6466900.74023318,1
1.49,841152.225320418,6497219.254739931,1
1.305,779786.6863682645,6799234.517663062,1
1.419,904808.9595652501,6578129.7611408215,1
1.28,785519.5220911155,6333653.579549541,1
1.329,495271.01455359603,6752358.754028263,1
1.449,788646.4228188354,6450370.588627863,1
1.369,645730.1639032,6895469.951784374,1
1.409,673544.1661500994,6863925.589988878,1
1.47,470227.8467375083,6815629.164439209,1
1.494,837769.3857074319,6346468.933400247,1
1.369,568931.4349298286,6470346.884943014,1
1.51,500860.69747511623,6420585.747681304,1
1.342,564519.9512058161,6982407.489820735,1
1.389,832409.8659997623,6515786.773443784,1
1.339,491456.6885780236,6837032.487218507,1
1.51,656615.2075754504,6426171.342989684,1
1.49,646551.8592017641,6495412.399087752,1
1.418,382935.46436798776,6960840.490528896,1
1.347,506506.82123639405,6919653.510016244,1
1.355,503388.088314563,6221463.196161994,1
1.46,1231011.9247994102,6121333.211145773,1
1.348,569157.3545673453,6531502.631396911,1
1.306,928358.403576768,6911082.91999474,1
1.293,374619.6591765085,6674930.59331566,1
1.345,630496.1385310848,6851038.43145339,1
1.29,380142.55314247165,6603445.791656374,1
1.49,689228.3574699933,6445370.961548231,1
1.45,461293.9889289059,6571911.6398159955,1
1.399,772463.8046534244,6851442.047267127,1
1.329,777206.4345332836,6284856.640320046,1
1.305,675959.6267383398,6885950.92965477,1
1.305,774096.747670319,6477204.187106248,1
1.43,888401.6074025328,6540967.693580113,1
1.307,561769.1109848004,6528042.665054268,1
1.358,638627.9749875418,6816042.837139424,1
1.295,452730.3897443905,6490244.437261144,1
1.45,638718.3037697219,6448525.066634236,1
1.44,607691.4826109431,6221692.645795413,1
1.312,988939.2131003945,6717698.702710548,1
1.293,848400.4857282559,6518576.296917192,1
1.335,710589.9541102474,6520106.318702084,1
1.289,549229.7506077394,6693583.170598402,1
1.349,1051597.3675016721,6869451.73255577,1
1.36,735022.2147833472,7024034.807150074,1
1.331,810213.0349296991,6302805.549379795,1
1.429,200017.97664451995,6766077.293223309,1
1.49,1229474.8013592726,6206785.971419305,1
1.399,431465.4632614938,6250409.5710666645,1
1.43,468715.89702745155,6537865.758276027,1
1.297,794655.284370326,6516407.0185238235,1
1.509,804903.1989361402,6616807.803569609,1
1.335,987018.3530200555,6717910.911373897,1
1.451,943841.946083619,6533323.293293765,1
1.348,534019.7822585246,6975699.620314923,1
1.474,697714.5798181354,6205619.33700539,1
1.399,558329.9415592061,6337833.222314702,1
1.339,455975.7429152498,6697664.326173753,1
1.354,927117.2786269468,6891508.292512773,1
1.484,1177907.321910275,6109939.555236795,1
1.299,677119.7693379379,7042283.6043907935,1
1.289,975775.0684498306,6898168.786245605,1
1.442,848634.7491359573,6425191.984292225,1
1.379,518399.3969987503,6944109.9687272245,1
1.347,598282.1717450285,7035352.335377033,1
1.329,214593.8396630005,6762889.047894461,1
1.306,155965.46605482278,6801011.9638124015,1
1.292,576347.4776295822,6778147.8101362465,1
1.365,619725.9237958638,7018089.008357303,1
1.359,869065.3665318914,6519214.668077198,1
1.5,490887.31909523153,6272155.449094759,1
1.359,655713.0325544659,6663178.438047003,1
1.311,485721.3744802317,6819251.304861442,1
1.361,766406.6944561707,7002721.391888049,1
1.339,152627.82843080512,6836816.927885444,1
1.449,1019516.9404715009,6802879.853803605,1
1.4,352084.51237663324,6785190.950458073,1
1.364,372778.83351261984,6296585.641270173,1
1.58,524981.2640263531,6890339.622021115,1
1.359,417186.90571711294,6782159.4662371855,1
1.385,698485.9659385494,6231380.480523497,1
1.369,368146.91989335004,6376770.343905039,1
1.379,525307.5366784054,6456511.547541622,1
1.307,691180.5276901654,6182546.63668674,1
1.369,963449.7002352278,6558378.392656869,1
1.395,982922.1036748318,6423461.342787406,1
1.61,988505.2745258823,6347026.042105883,1
1.307,385220.930100565,6244515.2704993365,1
1.355,890503.2405273148,6254279.969570992,1
