x,y
314600,7630600
314800,7630600
315000,7630600
315200,7630600
315400,7630600
315600,7630600
315800,7630600
316000,7630600
316200,7630600
316400,7630600
316600,7630600
316800,7630600
317000,7630600
317200,7630600
317400,7630600
317600,7630600
317800,7630600
318000,7630600
318200,7630600
318400,7630600
318600,7630600
318800,7630600
319000,7630600
319200,7630600
319400,7630600
319600,7630600
319800,7630600
320000,7630600
320200,7630600
320400,7630600
320600,7630600
320800,7630600
321000,7630600
321200,7630600
321400,7630600
321600,7630600
321800,7630600
322000,7630600
322200,7630600
322400,7630600
322600,7630600
322800,7630600
323000,7630600
323200,7630600
323400,7630600
323600,7630600
323800,7630600
324000,7630600
324200,7630600
324400,7630600
324600,7630600
324800,7630600
325000,7630600
325200,7630600
325400,7630600
325600,7630600
325800,7630600
326000,7630600
326200,7630600
326400,7630600
326600,7630600
326800,7630600
327000,7630600
327200,7630600
327400,7630600
327600,7630600
327800,7630600
328000,7630600
328200,7630600
328400,7630600
328600,7630600
328800,7630600
329000,7630600
329200,7630600
329400,7630600
329600,7630600
329800,7630600
330000,7630600
330200,7630600
330400,7630600
330600,7630600
330800,7630600
331000,7630600
331200,7630600
331400,7630600
331600,7630600
331800,7630600
332000,7630600
332200,7630600
332400,7630600
332600,7630600
332800,7630600
333000,7630600
333200,7630600
333400,7630600
333600,7630600
333800,7630600
334000,7630600
334200,7630600
334400,7630600
334600,7630600
334800,7630600
335000,7630600
335200,7630600
335400,7630600
335600,7630600
335800,7630600
336000,7630600
336200,7630600
336400,7630600
336600,7630600
336800,7630600
337000,7630600
337200,7630600
337400,7630600
337600,7630600
337800,7630600
338000,7630600
338200,7630600
338400,7630600
338600,7630600
338800,7630600
339000,7630600
339200,7630600
339400,7630600
339600,7630600
339800,7630600
340000,7630600
340200,7630600
340400,7630600
340600,7630600
340800,7630600
341000,7630600
341200,7630600
341400,7630600
341600,7630600
341800,7630600
342000,7630600
342200,7630600
342400,7630600
342600,7630600
342800,7630600
343000,7630600
343200,7630600
343400,7630600
343600,7630600
343800,7630600
344000,7630600
344200,7630600
344400,7630600
344600,7630600
344800,7630600
345000,7630600
345200,7630600
345400,7630600
345600,7630600
345800,7630600
346000,7630600
346200,7630600
346400,7630600
346600,7630600
346800,7630600
347000,7630600
347200,7630600
347400,7630600
347600,7630600
347800,7630600
348000,7630600
348200,7630600
348400,7630600
348600,7630600
348800,7630600
349000,7630600
349200,7630600
349400,7630600
349600,7630600
349800,7630600
350000,7630600
350200,7630600
350400,7630600
350600,7630600
350800,7630600
351000,7630600
351200,7630600
351400,7630600
351600,7630600
351800,7630600
352000,7630600
352200,7630600
352400,7630600
352600,7630600
352800,7630600
353000,7630600
353200,7630600
353400,7630600
353600,7630600
353800,7630600
354000,7630600
354200,7630600
354400,7630600
354600,7630600
354800,7630600
355000,7630600
355200,7630600
355400,7630600
355600,7630600
355800,7630600
356000,7630600
356200,7630600
356400,7630600
356600,7630600
356800,7630600
357000,7630600
357200,7630600
357400,7630600
357600,7630600
357800,7630600
358000,7630600
358200,7630600
358400,7630600
358600,7630600
358800,7630600
359000,7630600
359200,7630600
359400,7630600
359600,7630600
359800,7630600
360000,7630600
360200,7630600
360400,7630600
360600,7630600
360800,7630600
361000,7630600
361200,7630600
361400,7630600
361600,7630600
361800,7630600
362000,7630600
362200,7630600
362400,7630600
362600,7630600
362800,7630600
363000,7630600
363200,7630600
363400,7630600
363600,7630600
363800,7630600
364000,7630600
364200,7630600
364400,7630600
364600,7630600
364800,7630600
365000,7630600
365200,7630600
365400,7630600
365600,7630600
365800,7630600
366000,7630600
366200,7630600
366400,7630600
366600,7630600
366800,7630600
367000,7630600
367200,7630600
367400,7630600
367600,7630600
367800,7630600
368000,7630600
368200,7630600
368400,7630600
368600,7630600
368800,7630600
369000,7630600
369200,7630600
369400,7630600
369600,7630600
369800,7630600
370000,7630600
370200,7630600
370400,7630600
370600,7630600
370800,7630600
371000,7630600
371200,7630600
371400,7630600
371600,7630600
371800,7630600
372000,7630600
372200,7630600
372400,7630600
372600,7630600
372800,7630600
